Title;Current phase;Creator;Created at
Teste Unitário André;Done;André Lubambi;2026-01-28T06:59:13Z
Automação André - Hora: 08:06:29;Inbox;André Lubambi;2026-01-28T07:06:29Z
Automação André - Hora: 08:06:30;Done;André Lubambi;2026-01-28T07:06:30Z
Automação André - Hora: 08:06:31;Done;André Lubambi;2026-01-28T07:06:31Z
Automação André - Hora: 08:06:32;Done;André Lubambi;2026-01-28T07:06:32Z
Automação André - Hora: 08:06:33;Done;André Lubambi;2026-01-28T07:06:33Z
Automação André - Hora: 08:06:34;Done;André Lubambi;2026-01-28T07:06:35Z
Automação André - Hora: 08:06:36;Done;André Lubambi;2026-01-28T07:06:36Z
Automação André - Hora: 08:06:37;Done;André Lubambi;2026-01-28T07:06:38Z
Automação André - Hora: 08:06:39;Done;André Lubambi;2026-01-28T07:06:39Z
Automação André - Hora: 08:06:40;Done;André Lubambi;2026-01-28T07:06:40Z
Automação André - Hora: 08:06:41;Done;André Lubambi;2026-01-28T07:06:41Z
Automação André - Hora: 08:06:42;Done;André Lubambi;2026-01-28T07:06:42Z
Automação André - Hora: 08:06:43;Doing;André Lubambi;2026-01-28T07:06:43Z
Automação André - Hora: 08:06:45;Doing;André Lubambi;2026-01-28T07:06:45Z
Automação André - Hora: 08:06:46;Doing;André Lubambi;2026-01-28T07:06:46Z
Automação André - Hora: 08:06:47;Doing;André Lubambi;2026-01-28T07:06:47Z
Automação André - Hora: 08:06:48;Doing;André Lubambi;2026-01-28T07:06:48Z
Automação André - Hora: 08:06:49;Done;André Lubambi;2026-01-28T07:06:49Z
Automação André - Hora: 08:06:50;Done;André Lubambi;2026-01-28T07:06:50Z
Automação André - Hora: 08:06:52;Done;André Lubambi;2026-01-28T07:06:52Z
Automação André - Hora: 08:06:53;Inbox;André Lubambi;2026-01-28T07:06:53Z
Automação André - Hora: 08:06:54;Done;André Lubambi;2026-01-28T07:06:55Z
Automação André - Hora: 08:06:56;Done;André Lubambi;2026-01-28T07:06:56Z
Automação André - Hora: 08:06:57;Inbox;André Lubambi;2026-01-28T07:06:58Z
Automação André - Hora: 08:06:59;Inbox;André Lubambi;2026-01-28T07:06:59Z
Automação André - Hora: 08:07:00;Inbox;André Lubambi;2026-01-28T07:07:00Z
Automação André - Hora: 08:07:01;Inbox;André Lubambi;2026-01-28T07:07:01Z
Automação André - Hora: 08:07:02;Done;André Lubambi;2026-01-28T07:07:02Z
Automação André - Hora: 08:07:03;Done;André Lubambi;2026-01-28T07:07:04Z
Automação André - Hora: 08:07:05;Doing;André Lubambi;2026-01-28T07:07:05Z
Automação André - Hora: 08:07:06;Doing;André Lubambi;2026-01-28T07:07:06Z
Automação André - Hora: 08:07:07;Done;André Lubambi;2026-01-28T07:07:07Z
Automação André - Hora: 08:07:08;Done;André Lubambi;2026-01-28T07:07:08Z
